# Data structure:

# Category, Name, Profile class, geometric data...

# All measures must be in millimeters

# Possible profile classes are: 

# SCF_C_WL =    Steel Cold Formed C-profile with lips
# SHR_CHS=      Steel Hot Rolled Circular Hollow Section
# SHR_L=        Steel Hot Rolled L-angle with parallel flanges
# SHR_I_PF=     Steel Hot Rolled I/H-section parallel flange
# SHR_I_SF=     Steel Hot Rolled I/H-section sloped flange
# SHR_RS=        Steel Hot Rolled Round Section
# SHR_RCT=      Steel Hot Rolled Rectangular 
# SHR_RHS=      Steel Hot Rolled Rectangle Hollow Section
# SHR_C_PF=     Steel Hot Rolled C-channel Parallel Flange
# SHR_C_SF=     Steel Hot Rolled C-channel Sloped Flange


# Additional profile types must be implemented in ArchProfile.py first

###########################################

# Steel Hot Rolled Round Section

# Category,Name,SHR_RS,Diameter
R,R5,SHR_RS,5
R,R8,SHR_RS,8
R,R10,SHR_RS,10
R,R12,SHR_RS,12
R,R14,SHR_RS,14
R,R15,SHR_RS,151
R,R16,SHR_RS,16
R,R18,SHR_RS,18
R,R19,SHR_RS,19
R,R20,SHR_RS,20
R,R22,SHR_RS,22
R,R24,SHR_RS,24
R,R25,SHR_RS,25
R,R27,SHR_RS,27
R,R28,SHR_RS,28
R,R30,SHR_RS,30
R,R31,SHR_RS,31
R,R32,SHR_RS,32
R,R35,SHR_RS,35
R,R38,SHR_RS,38
R,R40,SHR_RS,40


# Circular Hollow Section

# Category,Name,SHR_CHS,Outside diameter,Thickness
CHS,CHS21.3x2.3,SHR_CHS,21.3,2.3
CHS,CHS26.9x2.3,SHR_CHS,26.9,2.3
CHS,CHS30x2.6,SHR_CHS,30,2.6
CHS,CHS31.8x2.6,SHR_CHS,31.8,2.6
CHS,CHS33.7x2.6,SHR_CHS,33.7,2.6
CHS,CHS33.7x2.9,SHR_CHS,33.7,2.9
CHS,CHS33.7x3.2,SHR_CHS,33.7,3.2
CHS,CHS33.7x3.6,SHR_CHS,33.7,3.6
CHS,CHS33.7x4,SHR_CHS,33.7,4
CHS,CHS33.7x4.5,SHR_CHS,33.7,4.5
CHS,CHS38x2.6,SHR_CHS,38,2.6
CHS,CHS42.4x2.6,SHR_CHS,42.4,2.6
CHS,CHS42.4x2.9,SHR_CHS,42.4,2.9
CHS,CHS42.4x3.2,SHR_CHS,42.4,3.2
CHS,CHS42.4x3.6,SHR_CHS,42.4,3.6
CHS,CHS42.4x4,SHR_CHS,42.4,4
CHS,CHS42.4x4.5,SHR_CHS,42.4,4.5
CHS,CHS42.4x5,SHR_CHS,42.4,5
CHS,CHS42.4x5.6,SHR_CHS,42.4,5.6
CHS,CHS44.5x2.6,SHR_CHS,44.5,2.6
CHS,CHS48.3x2.6,SHR_CHS,48.3,2.6
CHS,CHS48.3x2.9,SHR_CHS,48.3,2.9
CHS,CHS48.3x3.2,SHR_CHS,48.3,3.2
CHS,CHS48.3x3.6,SHR_CHS,48.3,3.6
CHS,CHS48.3x4,SHR_CHS,48.3,4
CHS,CHS48.3x4.5,SHR_CHS,48.3,4.5
CHS,CHS48.3x5,SHR_CHS,48.3,5
CHS,CHS48.3x5.6,SHR_CHS,48.3,5.6
CHS,CHS48.3x6.3,SHR_CHS,48.3,6.3
CHS,CHS51x2.6,SHR_CHS,51,2.6
CHS,CHS57x2.9,SHR_CHS,57,2.9
CHS,CHS60.3x2.9,SHR_CHS,60.3,2.9
CHS,CHS60.3x3.2,SHR_CHS,60.3,3.2
CHS,CHS60.3x3.6,SHR_CHS,60.3,3.6
CHS,CHS60.3x4,SHR_CHS,60.3,4
CHS,CHS60.3x4.5,SHR_CHS,60.3,4.5
CHS,CHS60.3x5,SHR_CHS,60.3,5
CHS,CHS60.3x5.6,SHR_CHS,60.3,5.6
CHS,CHS60.3x6.3,SHR_CHS,60.3,6.3
CHS,CHS60.3x7.1,SHR_CHS,60.3,7.1
CHS,CHS60.3x8,SHR_CHS,60.3,8
CHS,CHS63.5x2.9,SHR_CHS,63.5,2.9
CHS,CHS70x2.9,SHR_CHS,70,2.9
CHS,CHS76.1x2.9,SHR_CHS,76.1,2.9
CHS,CHS76.1x3.2,SHR_CHS,76.1,3.2
CHS,CHS76.1x3.6,SHR_CHS,76.1,3.6
CHS,CHS76.1x4,SHR_CHS,76.1,4
CHS,CHS76.1x4.5,SHR_CHS,76.1,4.5
CHS,CHS76.1x5,SHR_CHS,76.1,5
CHS,CHS76.1x5.6,SHR_CHS,76.1,5.6
CHS,CHS76.1x6.3,SHR_CHS,76.1,6.3
CHS,CHS76.1x7.1,SHR_CHS,76.1,7.1
CHS,CHS76.1x8,SHR_CHS,76.1,8
CHS,CHS76.1x8.8,SHR_CHS,76.1,8.8
CHS,CHS76.1x10,SHR_CHS,76.1,10
CHS,CHS82.5x3.2,SHR_CHS,82.5,3.2
CHS,CHS88.9x3.2,SHR_CHS,88.9,3.2
CHS,CHS88.9x3.6,SHR_CHS,88.9,3.6
CHS,CHS88.9x4,SHR_CHS,88.9,4
CHS,CHS88.9x4.5,SHR_CHS,88.9,4.5
CHS,CHS88.9x5,SHR_CHS,88.9,5
CHS,CHS88.9x5.6,SHR_CHS,88.9,5.6
CHS,CHS88.9x6.3,SHR_CHS,88.9,6.3
CHS,CHS88.9x7.1,SHR_CHS,88.9,7.1
CHS,CHS88.9x8,SHR_CHS,88.9,8
CHS,CHS88.9x8.8,SHR_CHS,88.9,8.8
CHS,CHS88.9x10,SHR_CHS,88.9,10
CHS,CHS88.9x12.5,SHR_CHS,88.9,12.5
CHS,CHS101.6x3.6,SHR_CHS,101.6,3.6
CHS,CHS101.6x4,SHR_CHS,101.6,4
CHS,CHS101.6x4.5,SHR_CHS,101.6,4.5
CHS,CHS101.6x5,SHR_CHS,101.6,5
CHS,CHS101.6x5.6,SHR_CHS,101.6,5.6
CHS,CHS101.6x6.3,SHR_CHS,101.6,6.3
CHS,CHS101.6x7.1,SHR_CHS,101.6,7.1
CHS,CHS101.6x8,SHR_CHS,101.6,8
CHS,CHS101.6x8.8,SHR_CHS,101.6,8.8
CHS,CHS101.6x10,SHR_CHS,101.6,10
CHS,CHS101.6x12.5,SHR_CHS,101.6,12.5
CHS,CHS101.6x14.2,SHR_CHS,101.6,14.2
CHS,CHS108x3.6,SHR_CHS,108,3.6
CHS,CHS114.3x3.6,SHR_CHS,114.3,3.6
CHS,CHS114.3x4,SHR_CHS,114.3,4
CHS,CHS114.3x4.5,SHR_CHS,114.3,4.5
CHS,CHS114.3x5,SHR_CHS,114.3,5
CHS,CHS114.3x5.6,SHR_CHS,114.3,5.6
CHS,CHS114.3x6.3,SHR_CHS,114.3,6.3
CHS,CHS114.3x7.1,SHR_CHS,114.3,7.1
CHS,CHS114.3x8,SHR_CHS,114.3,8
