# Data structure:

# Category, Name, Profile class, geometric data...

# All measures must be in millimeters

# Possible profile classes are: 

# Generic_RCT=		Generic Rectangle Solid Section
# Generic_L=		Generic L Section
# Generic_T=		Generic T Section
# SteelCF_C=     	Steel Cold Formed C-profile
# SteelCF_C_WL=     Steel Cold Formed C-profile with lips
# SteelCF_L=     	Steel Cold Formed L-profile
# SteelCF_Z=     	Steel Cold Formed Z-profile
# SteelCF_Z_WL=     Steel Cold Formed Z-profile with lips
# SteelHR_CHS=      Steel Hot Rolled Circular Hollow Section
# SteelHR_L=        Steel Hot Rolled L-angle with parallel flanges
# SteelHR_I_PF=     Steel Hot Rolled I/H-section parallel flange
# SteelHR_I_SF=     Steel Hot Rolled I/H-section sloped flange
# SteelHR_RS=       Steel Hot Rolled Round Section
# SteelHR_RCT=      Steel Hot Rolled Rectangular 
# SteelHR_RHS=      Steel Hot Rolled Rectangle Hollow Section
# SteelHR_C_PF=     Steel Hot Rolled C-channel Parallel Flange
# SteelHR_C_SF=     Steel Hot Rolled C-channel Sloped Flange


# Additional profile types must be implemented in ArchProfile.py first

###########################################

# Concrete Rectangle Solid Section

# Category,Name,Generic_RCT,Width,Height
Concrete Rectangle,350x400,Generic_RCT,350,400
Concrete Rectangle,350x450,Generic_RCT,350,450
Concrete Rectangle,350x500,Generic_RCT,350,500
Concrete Rectangle,400x400,Generic_RCT,400,400
Concrete Rectangle,400x500,Generic_RCT,400,500
Concrete Rectangle,400x600,Generic_RCT,400,600
Concrete Rectangle,500x800,Generic_RCT,500,800

# SteelCF_C

# Category,Name,SteelCF_C,width,height,thickness,inner fillet,centroid horizontal

# C-profile

Steel C-profile,C100/50/1,SteelCF_C,50,100,1,3,7.28
Steel C-profile,C100/50/1.5,SteelCF_C,50,100,1.5,3,2.71
Steel C-profile,C100/50/2,SteelCF_C,50,100,2,3,2.18
Steel C-profile,C150/50/1,SteelCF_C,50,150,1,3,14.67
Steel C-profile,C150/50/1.5,SteelCF_C,50,150,1.5,3,5.43
Steel C-profile,C150/50/2,SteelCF_C,50,150,2,3,2.96
Steel C-profile,C200/50/2,SteelCF_C,50,200,2,3,10
Steel C-profile,C250/50/2,SteelCF_C,50,250,2,3,10

# SteelCF_C_WL

# Category,Name,SteelCF_C_WL,width,height,thickness,inner fillet,lip length,centroid horizontal

# C-profile with lips

Steel C-profile with lips,C100/50/10/1,SteelCF_C_WL,50,100,1,3,10,7.28
Steel C-profile with lips,C100/50/10/1.5,SteelCF_C_WL,50,100,1.5,3,10,2.71
Steel C-profile with lips,C100/50/10/2,SteelCF_C_WL,50,100,2,3,10,2.18
Steel C-profile with lips,C150/50/10/1,SteelCF_C_WL,50,150,1,3,10,14.67
Steel C-profile with lips,C150/50/10/1.5,SteelCF_C_WL,50,150,1.5,3,10,5.43
Steel C-profile with lips,C150/50/10/2,SteelCF_C_WL,50,150,2,3,10,2.96
Steel C-profile with lips,C200/50/10/2,SteelCF_C_WL,50,200,2,3,10,10
Steel C-profile with lips,C250/50/10/2,SteelCF_C_WL,50,250,2,3,10,10

# SteelCF_L

# Category,Name,SteelCF_L,width,height,thickness,inner fillet,centroid horizontal

# L-profile

Steel L-profile,C100/50/1,SteelCF_L,50,100,1,3,7.28
Steel L-profile,C100/50/1.5,SteelCF_L,50,100,1.5,3,2.71
Steel L-profile,C100/50/2,SteelCF_L,50,100,2,3,2.18
Steel L-profile,C150/50/1,SteelCF_L,50,150,1,3,14.67
Steel L-profile,C150/50/1.5,SteelCF_L,50,150,1.5,3,5.43
Steel L-profile,C150/50/2,SteelCF_L,50,150,2,3,2.96
Steel L-profile,C200/50/2,SteelCF_L,50,200,2,3,10
